staff_id,staff_name,role,week_start,appointments_handled,sla_met_rate,escalations,followups_due,followups_completed,followup_rate,avg_handle_time_min,month,month_name,year,sla_met_pct,followup_pct
S001,Staff_01,Nurse,2023-06-05,65,0.8506,2,15,11,0.7333,19.2,6,Jun,2023,85.1,73.3
S001,Staff_01,Nurse,2023-06-12,106,0.7861,5,15,12,0.8,9.3,6,Jun,2023,78.6,80.0
S001,Staff_01,Nurse,2023-06-19,62,0.8289,3,17,12,0.7059,8.6,6,Jun,2023,82.9,70.6
S001,Staff_01,Nurse,2023-06-26,46,0.9164,0,11,10,0.9091,12.6,6,Jun,2023,91.6,90.9
S001,Staff_01,Nurse,2023-07-03,92,0.8233,2,21,19,0.9048,12.9,7,Jul,2023,82.3,90.5
S001,Staff_01,Nurse,2023-07-10,45,0.8978,5,24,19,0.7917,15.1,7,Jul,2023,89.8,79.2
S001,Staff_01,Nurse,2023-07-17,61,0.8134,4,8,5,0.625,9.4,7,Jul,2023,81.3,62.5
S001,Staff_01,Nurse,2023-07-24,74,0.8655,2,13,10,0.7692,17.2,7,Jul,2023,86.6,76.9
S001,Staff_01,Nurse,2023-07-31,91,0.8899,1,6,3,0.5,18.5,7,Jul,2023,89.0,50.0
S001,Staff_01,Nurse,2023-08-07,90,0.9765,1,6,4,0.6667,14.2,8,Aug,2023,97.6,66.7
S001,Staff_01,Nurse,2023-08-14,97,0.8216,3,7,4,0.5714,13.9,8,Aug,2023,82.2,57.1
S001,Staff_01,Nurse,2023-08-21,87,0.8652,3,8,6,0.75,16.2,8,Aug,2023,86.5,75.0
S001,Staff_01,Nurse,2023-08-28,108,0.7869,0,17,11,0.6471,18.5,8,Aug,2023,78.7,64.7
S001,Staff_01,Nurse,2023-09-04,105,0.82,3,6,3,0.5,16.0,9,Sep,2023,82.0,50.0
S001,Staff_01,Nurse,2023-09-11,101,0.9094,0,23,22,0.9565,13.9,9,Sep,2023,90.9,95.6
S001,Staff_01,Nurse,2023-09-18,42,0.8606,5,10,6,0.6,19.7,9,Sep,2023,86.1,60.0
S001,Staff_01,Nurse,2023-09-25,65,0.7992,5,20,14,0.7,16.5,9,Sep,2023,79.9,70.0
S001,Staff_01,Nurse,2023-10-02,84,0.8186,2,13,11,0.8462,16.0,10,Oct,2023,81.9,84.6
S001,Staff_01,Nurse,2023-10-09,62,0.9666,3,20,17,0.85,12.7,10,Oct,2023,96.7,85.0
S001,Staff_01,Nurse,2023-10-16,40,0.848,3,20,17,0.85,17.4,10,Oct,2023,84.8,85.0
S001,Staff_01,Nurse,2023-10-23,60,0.8727,2,9,6,0.6667,18.5,10,Oct,2023,87.3,66.7
S001,Staff_01,Nurse,2023-10-30,110,0.8115,0,7,6,0.8571,17.3,10,Oct,2023,81.2,85.7
S001,Staff_01,Nurse,2023-11-06,118,0.8264,1,9,8,0.8889,11.2,11,Nov,2023,82.6,88.9
S001,Staff_01,Nurse,2023-11-13,99,0.9276,1,7,6,0.8571,12.7,11,Nov,2023,92.8,85.7
S001,Staff_01,Nurse,2023-11-20,108,0.8068,2,24,15,0.625,8.5,11,Nov,2023,80.7,62.5
S001,Staff_01,Nurse,2023-11-27,62,0.8103,3,22,19,0.8636,19.5,11,Nov,2023,81.0,86.4
S001,Staff_01,Nurse,2023-12-04,47,0.8579,5,9,6,0.6667,14.8,12,Dec,2023,85.8,66.7
S001,Staff_01,Nurse,2023-12-11,49,0.9159,3,25,23,0.92,9.4,12,Dec,2023,91.6,92.0
S001,Staff_01,Nurse,2023-12-18,100,0.9156,1,8,5,0.625,9.2,12,Dec,2023,91.6,62.5
S001,Staff_01,Nurse,2023-12-25,89,0.8688,1,6,3,0.5,11.5,12,Dec,2023,86.9,50.0
S001,Staff_01,Nurse,2024-01-01,43,0.9864,2,19,16,0.8421,9.0,1,Jan,2024,98.6,84.2
S001,Staff_01,Nurse,2024-01-08,41,0.7929,3,17,14,0.8235,8.6,1,Jan,2024,79.3,82.4
S001,Staff_01,Nurse,2024-01-15,87,0.8242,5,19,16,0.8421,19.8,1,Jan,2024,82.4,84.2
S001,Staff_01,Nurse,2024-01-22,106,0.8406,2,19,16,0.8421,18.3,1,Jan,2024,84.1,84.2
S001,Staff_01,Nurse,2024-01-29,71,0.8878,5,8,7,0.875,8.6,1,Jan,2024,88.8,87.5
S001,Staff_01,Nurse,2024-02-05,80,0.7933,1,16,14,0.875,8.5,2,Feb,2024,79.3,87.5
S001,Staff_01,Nurse,2024-02-12,46,0.8755,1,11,7,0.6364,13.3,2,Feb,2024,87.6,63.6
S001,Staff_01,Nurse,2024-02-19,78,0.8151,4,25,17,0.68,8.2,2,Feb,2024,81.5,68.0
S001,Staff_01,Nurse,2024-02-26,47,0.8007,2,12,11,0.9167,14.4,2,Feb,2024,80.1,91.7
S001,Staff_01,Nurse,2024-03-04,120,0.895,5,25,18,0.72,16.1,3,Mar,2024,89.5,72.0
S001,Staff_01,Nurse,2024-03-11,74,0.8795,2,20,12,0.6,12.8,3,Mar,2024,87.9,60.0
S001,Staff_01,Nurse,2024-03-18,88,0.9148,2,13,8,0.6154,8.8,3,Mar,2024,91.5,61.5
S001,Staff_01,Nurse,2024-03-25,51,0.842,1,11,7,0.6364,16.6,3,Mar,2024,84.2,63.6
S001,Staff_01,Nurse,2024-04-01,112,0.9855,2,9,8,0.8889,8.5,4,Apr,2024,98.6,88.9
S001,Staff_01,Nurse,2024-04-08,64,0.981,4,9,8,0.8889,17.1,4,Apr,2024,98.1,88.9
S001,Staff_01,Nurse,2024-04-15,71,0.9177,5,21,14,0.6667,8.2,4,Apr,2024,91.8,66.7
S001,Staff_01,Nurse,2024-04-22,63,0.8748,2,20,14,0.7,8.5,4,Apr,2024,87.5,70.0
S001,Staff_01,Nurse,2024-04-29,101,0.8306,2,7,4,0.5714,17.0,4,Apr,2024,83.1,57.1
S001,Staff_01,Nurse,2024-05-06,102,0.8034,4,17,11,0.6471,13.7,5,May,2024,80.3,64.7
S001,Staff_01,Nurse,2024-05-13,106,0.8891,1,6,4,0.6667,18.2,5,May,2024,88.9,66.7
S001,Staff_01,Nurse,2024-05-20,80,0.8633,1,8,6,0.75,13.1,5,May,2024,86.3,75.0
S001,Staff_01,Nurse,2024-05-27,75,0.936,5,16,13,0.8125,18.8,5,May,2024,93.6,81.2
S001,Staff_01,Nurse,2024-06-03,105,0.8556,2,9,7,0.7778,9.1,6,Jun,2024,85.6,77.8
S001,Staff_01,Nurse,2024-06-10,103,0.821,5,24,15,0.625,10.2,6,Jun,2024,82.1,62.5
S001,Staff_01,Nurse,2024-06-17,93,0.7802,1,10,9,0.9,13.7,6,Jun,2024,78.0,90.0
S001,Staff_01,Nurse,2024-06-24,103,0.8191,0,7,4,0.5714,19.5,6,Jun,2024,81.9,57.1
S001,Staff_01,Nurse,2024-07-01,94,0.9357,1,17,10,0.5882,19.2,7,Jul,2024,93.6,58.8
S001,Staff_01,Nurse,2024-07-08,45,0.8697,3,8,7,0.875,12.7,7,Jul,2024,87.0,87.5
S001,Staff_01,Nurse,2024-07-15,75,0.913,5,9,8,0.8889,11.0,7,Jul,2024,91.3,88.9
S001,Staff_01,Nurse,2024-07-22,91,0.9296,5,7,5,0.7143,15.6,7,Jul,2024,93.0,71.4
S001,Staff_01,Nurse,2024-07-29,59,0.8791,3,15,14,0.9333,10.6,7,Jul,2024,87.9,93.3
S001,Staff_01,Nurse,2024-08-05,106,0.8707,1,19,17,0.8947,13.4,8,Aug,2024,87.1,89.5
S001,Staff_01,Nurse,2024-08-12,62,0.8147,4,14,8,0.5714,11.4,8,Aug,2024,81.5,57.1
S001,Staff_01,Nurse,2024-08-19,51,0.784,2,20,16,0.8,10.2,8,Aug,2024,78.4,80.0
S001,Staff_01,Nurse,2024-08-26,87,0.9031,1,8,7,0.875,15.8,8,Aug,2024,90.3,87.5
S001,Staff_01,Nurse,2024-09-02,112,0.7942,5,16,14,0.875,9.2,9,Sep,2024,79.4,87.5
S001,Staff_01,Nurse,2024-09-09,50,0.8634,1,10,6,0.6,19.9,9,Sep,2024,86.3,60.0
S001,Staff_01,Nurse,2024-09-16,83,0.9424,0,5,3,0.6,12.8,9,Sep,2024,94.2,60.0
S001,Staff_01,Nurse,2024-09-23,111,0.8752,4,21,19,0.9048,13.1,9,Sep,2024,87.5,90.5
S001,Staff_01,Nurse,2024-09-30,113,0.9167,2,5,3,0.6,19.0,9,Sep,2024,91.7,60.0
S001,Staff_01,Nurse,2024-10-07,112,0.8438,2,24,23,0.9583,16.5,10,Oct,2024,84.4,95.8
S001,Staff_01,Nurse,2024-10-14,79,0.9725,1,15,9,0.6,9.8,10,Oct,2024,97.2,60.0
S001,Staff_01,Nurse,2024-10-21,81,0.8161,2,18,17,0.9444,15.6,10,Oct,2024,81.6,94.4
S001,Staff_01,Nurse,2024-10-28,63,0.8418,3,8,5,0.625,8.8,10,Oct,2024,84.2,62.5
S001,Staff_01,Nurse,2024-11-04,97,0.9281,3,11,8,0.7273,15.1,11,Nov,2024,92.8,72.7
S001,Staff_01,Nurse,2024-11-11,118,0.9068,4,6,4,0.6667,16.1,11,Nov,2024,90.7,66.7
S001,Staff_01,Nurse,2024-11-18,104,0.7887,0,25,16,0.64,18.2,11,Nov,2024,78.9,64.0
S001,Staff_01,Nurse,2024-11-25,85,0.8553,3,23,21,0.913,9.5,11,Nov,2024,85.5,91.3
S001,Staff_01,Nurse,2024-12-02,86,0.8494,5,18,14,0.7778,9.0,12,Dec,2024,84.9,77.8
S001,Staff_01,Nurse,2024-12-09,40,0.9811,1,20,13,0.65,13.8,12,Dec,2024,98.1,65.0
S001,Staff_01,Nurse,2024-12-16,55,0.8775,3,23,17,0.7391,19.2,12,Dec,2024,87.8,73.9
S001,Staff_01,Nurse,2024-12-23,120,0.905,2,25,21,0.84,17.5,12,Dec,2024,90.5,84.0
S001,Staff_01,Nurse,2024-12-30,119,0.8389,1,14,13,0.9286,17.8,12,Dec,2024,83.9,92.9
S002,Staff_02,Patient Coordinator,2023-06-05,44,0.9323,4,17,11,0.6471,10.6,6,Jun,2023,93.2,64.7
S002,Staff_02,Patient Coordinator,2023-06-12,72,0.9868,3,6,4,0.6667,17.1,6,Jun,2023,98.7,66.7
