year,week,total_appts,completed,no_shows,revenue_aed,avg_lead_days,no_show_rate,completion_rate
2024,2024-10-14/2024-10-20,44,26,13,6460,14.3,29.5,59.1
2024,2024-10-21/2024-10-27,52,28,7,7470,17.0,13.5,53.8
2024,2024-10-28/2024-11-03,47,29,9,7710,16.7,19.1,61.7
2024,2024-11-04/2024-11-10,48,31,6,8450,17.2,12.5,64.6
2024,2024-11-11/2024-11-17,49,27,15,7960,13.4,30.6,55.1
2024,2024-11-18/2024-11-24,56,35,11,9840,15.8,19.6,62.5
2024,2024-11-25/2024-12-01,47,21,10,5200,16.2,21.3,44.7
2024,2024-12-02/2024-12-08,49,36,9,10980,15.8,18.4,73.5
2024,2024-12-09/2024-12-15,60,37,17,10150,16.1,28.3,61.7
2024,2024-12-16/2024-12-22,51,30,11,8160,15.0,21.6,58.8
2024,2024-12-23/2024-12-29,31,13,9,3620,15.7,29.0,41.9
2024,2024-12-30/2025-01-05,15,8,2,2370,15.1,13.3,53.3
